key;comments;en_US;tr_TR
GENERIC_TEXT_VALUE_USERDEFVALUE;;MANUAL:%1min;MANUEL:%1dk
GENERIC_TEXT_VALUE_ORIGINAL;;ORIGINAL;ORİJİNAL
GENERIC_TEXT_VALUE_HDCP1;;HDCP 1.X;HDCP 1.X
GENERIC_TEXT_VALUE_HDCP2;;HDCP 2.2;HDCP 2.2
GENERIC_TEXT_VALUE_NOHDCP;;NO HDCP;NO HDCP
GENERIC_PARENTALRATING_VALUE_7;;7+;7+
GENERIC_PARENTALRATING_VALUE_13;;13+;13+
GENERIC_PARENTALRATING_VALUE_18;;18+;18+
GENERIC_TEXT_VALUE_LOADING;;LOADING, PLEASE WAIT...;YÜKLENİYOR, LÜTFEN BEKLEYİN…
GENERIC_TEXT_VALUE_NEVER;;NEVER;ASLA
GENERIC_TEXT_VALUE_ALWAYS;;ALWAYS;HER ZAMAN
GENERIC_TEXT_VALUE_ONCE;;ONCE;BİR KEZ
GENERIC_TEXT_VALUE_NONE;;NONE;KAPALI
GENERIC_TEXT_VALUE_SHOW;;SHOW;GÖSTER
GENERIC_TEXT_VALUE_HIDE;;HIDE;GİZLE
GENERIC_MDUTYPE_VALUE_MDU;;MDU;MDU
GENERIC_MDUTYPE_VALUE_MDU1;;MDU 1;MDU 1
GENERIC_MDUTYPE_VALUE_MDU2;;MDU 2;MDU 2
GENERIC_MDUTYPE_VALUE_MDU3;;MDU 3;MDU 3
GENERIC_MDUTYPE_VALUE_MDU4;;MDU 4;MDU 4
GENERIC_MDUTYPE_VALUE_MDU5;;MDU 5;MDU 5
GENERIC_DAY_VALUE_MONDAY;;Mon;Pzt
GENERIC_DAY_VALUE_TUESDAY;;Tue;Sal
GENERIC_DAY_VALUE_WEDNESDAY;;Wed;Çar
GENERIC_DAY_VALUE_THURSDAY;;Thu;Per
GENERIC_DAY_VALUE_FRIDAY;;Fri;Cum
GENERIC_DAY_VALUE_SATURDAY;;Sat;Cmt
GENERIC_DAY_VALUE_SUNDAY;;Sun;Paz
GENERIC_FULLDAY_VALUE_MONDAY;;MONDAY;PAZARTESİ
GENERIC_FULLDAY_VALUE_TUESDAY;;TUESDAY;SALI
GENERIC_FULLDAY_VALUE_WEDNESDAY;;WEDNESDAY;ÇARŞAMBA
GENERIC_FULLDAY_VALUE_THURSDAY;;THURSDAY;PERŞEMBE
GENERIC_FULLDAY_VALUE_FRIDAY;;FRIDAY;CUMA
GENERIC_FULLDAY_VALUE_SATURDAY;;SATURDAY;CUMARTESİ
GENERIC_FULLDAY_VALUE_SUNDAY;;SUNDAY;PAZAR
GENERIC_DAY_VALUE_WRONG;;Wrong Date;Hatalı tarih
GENERIC_MONTH_VALUE_JANUARY;;Jan;Oca
GENERIC_MONTH_VALUE_FEBRUARY;;Feb;Şub
GENERIC_MONTH_VALUE_MARCH;;Mar;Mar
GENERIC_MONTH_VALUE_APRIL;;Apr;Nis
GENERIC_MONTH_VALUE_MAY;;May;May
GENERIC_MONTH_VALUE_JUNE;;Jun;Haz
GENERIC_MONTH_VALUE_JULY;;Jul;Tem
GENERIC_MONTH_VALUE_AUGUST;;Aug;Ağu
GENERIC_MONTH_VALUE_SEPTEMBER;;Sep;Eyl
GENERIC_MONTH_VALUE_OCTOBER;;Oct;Eki
GENERIC_MONTH_VALUE_NOVEMBER;;Nov;Kas
GENERIC_MONTH_VALUE_DECEMBER;;Dec;Ara
GENERIC_TEXT_VALUE_SEARCH;;SEARCH;ARAMA
GENERIC_TEXT_VALUE_OK;;OK;TAMAM
GENERIC_TEXT_VALUE_BACK;;BACK;GERİ
GENERIC_TEXT_VALUE_COMINGSOON;;COMING SOON;ÇOK YAKINDA
GENERIC_TEXT_VALUE_CLOSE;;CLOSE;KAPAT
GENERIC_TEXT_VALUE_CLOSEMENU;;CLOSE MENU;MENÜYÜ KAPAT

# generic countries
# first install countries
GENERIC_COUNTRY_VALUE_OTHERS;;OTHERS;DİĞERLERİ
GENERIC_COUNTRY_VALUE_TK;;TURKEY;TÜRKİYE
GENERIC_COUNTRY_VALUE_DE;;GERMANY;ALMANYA
GENERIC_COUNTRY_VALUE_AT;;AUSTRIA;AVUSTURYA
GENERIC_COUNTRY_VALUE_AZ;;AZERBAIJAN;AZERBAYCAN
GENERIC_COUNTRY_VALUE_BE;;BELGIUM;BELÇİKA
GENERIC_COUNTRY_VALUE_BG;;BULGARIA;BULGARİSTAN
GENERIC_COUNTRY_VALUE_DK;;DENMARK;DANİMARKA
GENERIC_COUNTRY_VALUE_FI;;FINLAND;FİNLANDİYA
GENERIC_COUNTRY_VALUE_FR;;FRANCE;FRANSA
GENERIC_COUNTRY_VALUE_NL;;NETHERLANDS;HOLLANDA
GENERIC_COUNTRY_VALUE_EN;;ENGLAND;İNGİLTERE
GENERIC_COUNTRY_VALUE_SP;;SPAIN;İSPANYA
GENERIC_COUNTRY_VALUE_SE;;SWEDEN;İSVEÇ
GENERIC_COUNTRY_VALUE_CH;;SWITZERLAND;İSVİÇRE
GENERIC_COUNTRY_VALUE_IT;;ITALY;İTALYA
GENERIC_COUNTRY_VALUE_HU;;HUNGARY;MACARİSTAN
GENERIC_COUNTRY_VALUE_NO;;NORWAY;NORVEÇ
GENERIC_COUNTRY_VALUE_UZ;;UZBEKISTAN;ÖZBEKİSTAN
GENERIC_COUNTRY_VALUE_PO;;POLAND;POLONYA
GENERIC_COUNTRY_VALUE_TM;;TURKMENISTAN;TÜRKMENİSTAN
GENERIC_COUNTRY_VALUE_GR;;GREECE;YUNANİSTAN

# FIRST INSTALL
SETUP_GENERIC_TEXT_VALUE_ENGLISH;;ENGLISH;ENGLISH
SETUP_GENERIC_TEXT_VALUE_TURKISH;;TÜRKÇE;TÜRKÇE
FIRST_INSTALL_MESSAGE_WELCOME_TURKISH;;Hoşgeldiniz!%cr%TV izleme keyfinize yeni bir boyut kazandıracak, yeni nesil uydu alıcınızla keyifli seyirler dileriz.;Hoşgeldiniz!%cr%TV izleme keyfinize yeni bir boyut kazandıracak, yeni nesil uydu alıcınızla keyifli seyirler dileriz.
FIRST_INSTALL_MESSAGE_WELCOME_ENGLISH;;Welcome%cr%We wish you enjoyable TV viewing experience with the the new-generation receiver Digiturk Plus+ IQ.;Welcome%cr%We wish you enjoyable TV viewing experience with the the new-generation receiver Digiturk Plus+ IQ.
SETUP_INSTALL_MESSAGE_WELCOME;;This option is a 4 steps process %cr%(recommended). %cr%Press OK to start.;Bu işlem 4 aşamada tamamlanacaktır.%cr%Başlamak için OK tuşuna basınız.
SETUP_INSTALL_MESSAGE_STARTSCAN_TITLE;;Find channels!;Kanal aranıyor
SETUP_INSTALL_MESSAGE_SCANSUCCESS_TITLE;;Done !;Kanallar bulundu!
SETUP_INSTALL_MESSAGE_SCANSUCCESS;;Installation was successful. %cr%You can now watch TV and plenty more. %cr%%cr%Enjoy;Kanal kurulumu başarıyla tamamlandı.%cr%Digiturk izlemeye başlayabilirsiniz. %cr%%cr%Keyifli Seyirler!
SETUP_INSTALL_MESSAGE_STARTSCAN_PROGRESS_TV;;TV %1;TV %1
SETUP_INSTALL_MESSAGE_STARTSCAN_PROGRESS_RADIO;;Radio %1;Radyo %1
SETUP_INSTALL_MESSAGE_STARTSCAN_PROGRESS_TOTAL;;Total Channel Number %1;Toplam Kanal Sayısı %1
SETUP_INSTALL_MESSAGE_STARTSCAN_SCAN;;Scan in progress... %1 %;Arama devam ediyor... %1 %
SETUP_INSTALL_MESSAGE_SCAN_COMPLETE;;Scan is completed;Kurulum tamamlandı
SETUP_INSTALL_MESSAGE_LANGUAGE_TURKISH;;Seçtiğiniz dil bütün menüler için geçerli olacaktır. %cr%OK tuşlayarak seçiminizi onaylayınız.;Seçtiğiniz dil bütün menüler için geçerli olacaktır. %cr%OK tuşlayarak seçiminizi onaylayınız.
SETUP_INSTALL_MESSAGE_LANGUAGE_ENGLISH;;This setting will affect all menus%cr%and action items. Press OK to validate.;This setting will affect all menus%cr%and action items. Press OK to validate.
SETUP_INSTALL_MESSAGE_SELECTSAT;;This defines the most suitable %cr%satellite for your area. %cr%Press OK to start scanning.;Kurulum yapılacak uyduyu seçiniz.%cr%OK tuşlayarak seçiminizi onaylayınız.
SETUP_INSTALL_MESSAGE_DONE;;To find out about the plenty more, %cr%watch the getting started video (3 min.)%cr% Enjoy !;Uydu alıcınız hakkında daha fazlasını izlemek için Başlarken Videosunu izleyebilirsiniz. %cr%Keyifli seyirler!
SETUP_INSTALL_MESSAGE_TVFORMAT_TITLE;;Select your tv format.;Ekran boyutu
SETUP_INSTALL_MESSAGE_TVFORMAT;;This is the size of your TV set. %cr%The decoder is designed for optimal %cr%use of HD ready TV sets. %cr%Press OK to validate.;Kullandığınız televizyonun ekran boyutunu seçiniz. %cr%OK tuşlayarak seçiminizi onaylayınız.
SETUP_INSTALL_MESSAGE_TIME_TITLE;;Select your time zone.;Zaman dilimi seçiniz
SETUP_INSTALL_MESSAGE_TIME;;This defines your decoder clock %cr%and the programming %cr%correct time information. %cr%Press OK to validate.;Uydu alıcınızın saatini ayarlayınız. %cr%OK tuşlayarak seçiminizi onaylayınız.
SETUP_INSTALL_MESSAGE_SCANFAILED_TITLE;;Scan Failed !;Tarama Başarısız!
SETUP_INSTALL_MESSAGE_SCANFAILED;;Installation has failed.%cr%Check that your set-top box is properly connected to the cable point and try again.;Kanal kurulumu başarısız.%cr%Uydu alıcınızın bağlantılarını kontrol ettikten sonra tekrar deneyiniz.

# ADVANCED INSTALL
ADVINSTALL_START_ACTION_START;;PERFORM INSTALLATION;KURULUMU BAŞLAT
ADVINSTALL_SCAN_MESSAGE_SUCCESS;;Scan Success;Kanal arama başarılı
ADVINSTALL_SCAN_MESSAGE_FAILED;;Scan Failed;Tarama Başarısız
ADVINSTALL_SCAN_MESSAGE_FORBIDDEN;;In order to access scan, please stop your activity which is using your tuner.;Kanal kurulumu yapmak için, devam eden kayıtlarınızı durdurmalısınız.
ADVINSTALL_HELP_MESSAGE_FREQUENCY;;;
ADVINSTALL_HELP_MESSAGE_LNBTYPE;;;
ADVINSTALL_RESET_ACTION_DEFAULTSETTINGS;;RESET TO DEFAULT SETTINGS;VARSAYILAN DEĞERLERE DÖN

# INSTALL COMMON
INSTALL_PROCESS_ACTION_QUICK;;QUICK INSTALLATION;KOLAY KURULUM
INSTALL_PROCESS_ACTION_ADVANCED;;ADVANCED SET-UP;GELİŞMİŞ KURULUM
INSTALL_TVFORMAT_VALUE_16_9;;16:9;16:9
INSTALL_TVFORMAT_VALUE_4_3;;4:3;4:3
INSTALL_TIMEZONE_VALUE_TIMEZONE1;;TIME ZONE 1;ZAMAN DİLİMİ 1
INSTALL_TIMEZONE_VALUE_TIMEZONE2;;TIME ZONE 2;ZAMAN DİLİMİ 2
INSTALL_TIMEZONE_VALUE_TIMEZONE3;;TIME ZONE 3;ZAMAN DİLİMİ 3
INSTALL_TIMEZONE_VALUE_TIMEZONE4;;TIME ZONE 4;ZAMAN DİLİMİ 4
INSTALL_SAT_VALUE_TURKSAT;;TURKSAT;TURKSAT
INSTALL_SAT_VALUE_EUTELSAT;;EUTELSAT;EUTELSAT
INSTALL_SCANNING_ACTION_STOPSCANN;;STOP SCANNING;TARAMAYI DURDUR
INSTALL_COMPLETE_ACTION_WATCHTV;;WATCH TV NOW;KANALA DÖN
INSTALL_COMPLETE_ACTION_RESCAN;;RESTART SCAN;TEKRAR TARA

# SEARCH
SEARCH_OPTION_PARAMETER_GENRE;;BY GENRE;TEMA
SEARCH_KEYWORD_ACTION_KEYWORD;;BY KEYWORD;ANAHTAR KELİME
SEARCH_ADVANCED_ACTION_ADVANCED;;ADVANCED SEARCH;GELİŞMİŞ ARAMA
SEARCH_TIME_PARAMETER_TIME;;BY TIME;YAYIN SAATİ
SEARCH_FORMAT_PARAMETER_FORMAT;;3D OR HD;3D VEYA HD
SEARCH_MORELIKETHIS_ACTION_SUGGEST;;SUGGEST;ÖNER
SEARCH_MEDIA_PARAMETER_MEDIA;;MEDIA;ORTAM
SEARCH_DECADE_PARAMETER_DECADE;;YEAR;YAPIM YILI
SEARCH_KEYWORD_ACTION_CASTDIRECTOR;;CAST & DIRECTOR;OYUNCU&YÖNETMEN
SEARCH_KEYWORD_ACTION_COUNTRY;;COUNTRY;ÜLKE
SEARCH_KEYWORD_ACTION_TITLE;;TITLE;PROGRAM İSMİ
SEARCH_TIME_VALUE_MONDAY;;MONDAY;PAZARTESİ
SEARCH_TIME_VALUE_TUESDAY;;TUESDAY;SALI
SEARCH_TIME_VALUE_WEDNESDAY;;WEDNESDAY;ÇARŞAMBA
SEARCH_TIME_VALUE_THURSDAY;;THURSDAY;PERŞEMBE
SEARCH_TIME_VALUE_FRIDAY;;FRIDAY;CUMA
SEARCH_TIME_VALUE_SATURDAY;;SATURDAY;CUMARTESİ
SEARCH_TIME_VALUE_SUNDAY;;SUNDAY;PAZAR
SEARCH_TIME_VALUE_ALLDAYS;;ANY DAY;TÜM GÜNLER
SEARCH_TIME_VALUE_TIMESLOT1;;EARLY EVENING;AKŞAM ÜZERİ
SEARCH_TIME_VALUE_TIMESLOT2;;EVENING;AKŞAM
SEARCH_TIME_VALUE_TIMESLOT4;;NIGHT;GECE
SEARCH_TIME_VALUE_TIMESLOT5;;EARLY MORNING;SABAHA KARŞI
SEARCH_TIME_VALUE_TIMESLOT6;;MORNING;SABAH
SEARCH_TIME_VALUE_TIMESLOT7;;MID-DAY;ÖĞLEN
SEARCH_TIME_VALUE_TIMESLOT8;;AFTERNOON;ÖĞLEDEN SONRA
SEARCH_TIME_VALUE_TIMESLOT9;;ALL DAY;TÜM GÜN
SEARCH_MEDIA_VALUE_ALL;;All Content;Hepsi
SEARCH_MEDIA_VALUE_PREMIUM;;Premium Content;Değerli İçerikler
SEARCH_MEDIA_VALUE_TV;;Guide;Rehber
SEARCH_MEDIA_VALUE_VOD;;Digiturk Portal;Digiturk Portal
SEARCH_MEDIA_VALUE_RECORDINGS;;Recordings;Kayıtlar
SEARCH_MEDIA_VALUE_GUIDE;;Guide;Rehber
SEARCH_MEDIA_VALUE_PERSO;;Personal Content;Kişisel İçerikler
SEARCH_FORMAT_VALUE_3D;;3D;3D
SEARCH_FORMAT_VALUE_HD;;HD;HD
SEARCH_OPTIONS_ACTION_CRITERIA;;BY CRITERIA;KRİTER İLE ARA
SEARCH_OPTIONS_ACTION_KEYWORD;;BY KEYWORD;ANAHTAR KELİME ARA
SEARCH_OPTIONS_ACTION_SCOPE;;SEARCH SCOPE;ARAMA KAPSAMI
SEARCH_OPTIONS_ACTION_MOOD;;MOOD;MOD
SEARCH_OPTIONS_ACTION_THEME;;THEME;TEMA
SEARCH_OPTIONS_ACTION_VIDEOFORMAT;;VIDEO FORMAT;VİDEO FORMAT
SEARCH_RESULTS_ACTION_REFINE;;REFINE;YENİLE
SEARCH_RESULTS_ACTION_50OK;;50 IS ENOUGH;50 YETERLİ
SEARCH_RESULTS_ACTION_SHOWLESS;;SHOW LESS;SINIRLI LİSTELE
SEARCH_RESULTS_ACTION_SHOWALL;;SHOW ALL;HEPSİNİ GÖSTER
SEARCH_RESULTS_LIST_BREADCRUMB;;WORD : %1;KELİME : %1
SEARCH_RESULTS_LIST_BREADCRUMB_THEME;;THEME : %1;TEMA : %1
SEARCH_RESULTS_LIST_BREADCRUMB_MOOD;;MOOD : %1;MOD : %1
SEARCH_RESULTS_LIST_BREADCRUMB_VIDEO;;VIDEO FORMAT : %1;VIDEO FORMAT : %1
SEARCH_RESULTS_LIST_BREADCRUMB_DECADE;;YEAR : %1;YAPIM YILI : %1
SEARCH_RESULTS_LIST_BREADCRUMB_SCOPE;;SEARCH SCOPE : %1;ARAMA KAPSAMI : %1

# DVB GENRES
SEARCH_GENRE_VALUE_DVBGENRE_00;;;
SEARCH_GENRE_VALUE_DVBGENRE_e0;;Romantic Comedy;Romantik Komedi
SEARCH_GENRE_VALUE_DVBGENRE_e1;;Action;Aksiyon
SEARCH_GENRE_VALUE_DVBGENRE_e2;;Animation;Animasyon
SEARCH_GENRE_VALUE_DVBGENRE_e3;;Sci-Fi;Bilim Kurgu
SEARCH_GENRE_VALUE_DVBGENRE_e4;;Adventure;Macera
SEARCH_GENRE_VALUE_DVBGENRE_e5;;Drama;Drama
SEARCH_GENRE_VALUE_DVBGENRE_e6;;Fantastic;Fantastik
SEARCH_GENRE_VALUE_DVBGENRE_e7;;Comedy;Komedi
SEARCH_GENRE_VALUE_DVBGENRE_e8;;Horror;Korku
SEARCH_GENRE_VALUE_DVBGENRE_e9;;Thriller;Gerilim
SEARCH_GENRE_VALUE_DVBGENRE_ea;;Musical;Müzikal
SEARCH_GENRE_VALUE_DVBGENRE_eb;;Crime;Polisiye
SEARCH_GENRE_VALUE_DVBGENRE_ec;;Romance;Romantik
SEARCH_GENRE_VALUE_DVBGENRE_ed;;War;Savaş
SEARCH_GENRE_VALUE_DVBGENRE_ee;;Biography;Biyografi
SEARCH_GENRE_VALUE_DVBGENRE_ef;;Western;Western
SEARCH_GENRE_VALUE_DVBGENRE_f0;;Reality-Show;Reality-Show
SEARCH_GENRE_VALUE_DVBGENRE_f1;;Sports;Spor
SEARCH_GENRE_VALUE_DVBGENRE_f2;;News;Haberler
SEARCH_GENRE_VALUE_DVBGENRE_f3;;Economics;Ekonomi
SEARCH_GENRE_VALUE_DVBGENRE_f4;;Documentary;Belgesel
SEARCH_GENRE_VALUE_DVBGENRE_f5;;Children's;Çocuk
SEARCH_GENRE_VALUE_DVBGENRE_f6;;Education;Eğitim
SEARCH_GENRE_VALUE_DVBGENRE_f7;;Arts&Cultures;Sanat ve Kültür
SEARCH_GENRE_VALUE_DVBGENRE_f8;;Religion;Din
SEARCH_GENRE_VALUE_DVBGENRE_f9;;Life Style;Eğlence Yaşam
SEARCH_GENRE_VALUE_DVBGENRE_fa;;Magazine;Magazin
SEARCH_GENRE_VALUE_DVBGENRE_fb;;Contest;Yarışma
SEARCH_GENRE_VALUE_DVBGENRE_fc;;Entertainment;Eğlence
SEARCH_GENRE_VALUE_DVBGENRE_fd;;Music;Müzik
SEARCH_GENRE_VALUE_DVBGENRE_fe;;Adult;Yetişkin
SEARCH_GENRE_VALUE_DVBGENRE_ff;;Reality;Reality
SEARCH_MENU_NOT_AVAILABLE;;Program informations will be uploaded soon.%cr%Please try again later.; Arama yapabilmeniz için program bilgileri kısa süre içinde yüklenecektir.%cr%Lütfen daha sonra tekrar deneyiniz.

# POPUP - ACTION MESSAGES
POPUP_ACTIONNOTIFICATION_ACTION_IGNORE;;IGNORE;VAZGEÇ
POPUP_ACTIONNOTIFICATION_ACTION_RECORD;;RECORD;PROGRAMI KAYDET
POPUP_ACTIONNOTIFICATION_LABEL_PINLOCK;;PIN LOCK;KİLİTLİ
POPUP_ACTIONNOTIFICATION_ACTION_TUNENOW;;TUNE NOW;KANALA GİT
POPUP_ACTIONNOTIFICATION_MESSAGE_EVENT_BASE_ZAPPING;;Your tag on %1 %2 %3 is up.Without any action, the zapping will be done automatically.; %1 %2 %3 kanalındaki etiketin vakti geldi.Seçim yapmazsanız, kanala otomatik olarak geçilecektir.
POPUP_ACTIONNOTIFICATION_MESSAGE_ZAPPING;;Your tag on %1 is up.Without any action, the zapping will be done automatically.; %1 kanalındaki etiketin vakti geldi.Seçim yapmazsanız, kanala otomatik olarak geçilecektir.
POPUP_ACTIONNOTIFICATION_MESSAGE_TB;;Your tag on %1 is up.;%1 kanalındaki etiketin vakti geldi.
POPUP_ACTIONNOTIFICATION_PARAMETER_START;;%1 is about to start.;%1 başlamak üzere.
POPUP_ACTIONNOTIFICATION_MESSAGE_SMARTCARDERROR;;SMART CARD ERROR;DİJİTAL KART HATASI
POPUP_ACTIONNOTIFICATION_PARAMETER_TAGNOTIFICATION;;TAG NOTIFICATION;ETİKET UYARISI
POPUP_ACTIONNOTIFICATION_MESSAGE_FILTERS;;Do you really want to limit your channel list with the channels of selected list?;Kanal listenizi seçtiğiniz listedeki kanallarla sınırlayarak sadece bu kanallarda zaplamak istediğinizden emin misiniz?
POPUP_NOTIFICATIONS_LABEL_WARNING;;Warning;Uyarı
POPUP_NOTIFICATIONS_MESSAGE_LASTWATCH;;If you stop watching now, you will not have authorization to play it again.;İçeriğin son izleme tarihi bugün.%cr%Videoyu durdurmanız halinde tekrar oynatamayabilirsiniz.
POPUP_NOTIFICATIONS_ACTION_RESUME;;Resume;Devam
POPUP_NOTIFICATIONS_ACTION_STOPWATCHING;;Stop watching;Videoyu durdur
POPUP_NOTIFICATIONS_MESSAGE_EXPIRATIONDATE;;You can still watch this video until %1;Bu programı  %1 tarihine kadar izleyebilirsiniz.
POPUP_NOTIFICATIONS_MESSAGE_CHANGELANG;;Are you sure you wish to change the menu language to Turkish?;Menü dilini İngilizce olarak değiştirmek istediğinizden emin misiniz?
POPUP_NOTIFICATIONS_CLOSE_PIP;;Are you sure you want to close spy?;Kanal takip özelliğini kapatmak istediğinizden emin misiniz?
POPUP_NOTIFICATIONS_MESSAGE_NOHDCP_TITLE;;HDCP ERROR;HDCP HATASI
POPUP_NOTIFICATIONS_MESSAGE_NOHDCP_TITLEEXP;;HDCP is Not Supported;HDCP Desteklenmiyor
POPUP_NOTIFICATIONS_MESSAGE_HDCP;;Resolution option you have selected is not supported. Your TV does not support this resolution or not connected via HDMI cable.;Seçtiğiniz çözünürlük değeri desteklenmemektedir. Televizyonunuz bu çözünürlüğü desteklemiyor veya bağlantı HDMI kablo ile yapılmamış olabilir.
POPUP_NOTIFICATIONS_MESSAGE_NOHDCP;;This service can only be watched through HDMI and with HDCP supported TV display. You are either using analogue outputs of your TV or your TV does NOT have HDCP support.;Bu içerik sadece HDMI bağlantı üzerinden ve HDCP desteği olan bir TV ile izlenebilir. Şu an televizyonunuzun analog çıkışlarını kullanmaktasınız veya televizyonunuzda HDCP desteği bulunmamaktadır.

# POPUP - ACTION MESSAGES - PIN
POPUP_ACTIONNOTIFICATION_MESSAGE_ENTRY;;This channel is locked. %cr%Please enter your PIN. ;Kanal kilitli! %cr% İzlemek için lütfen PIN Kodunuzu giriniz.
POPUP_ACTIONNOTIFICATION_MESSAGE_ENTRYAFTERWRONGPIN;;Wrong PIN Code, you have %1 attempts left.%cr%%crIn order to reset your PIN code to 0000, please send “PIN“ SMS to 3555 via%cr%your registered phone.%cr%0212 473 73 73 ;Hatalı PIN girdiniz, %1 hakkınız kaldı.%cr%Kanal şifrenizi sıfırlamak için sistemimize kayıtlı cep telefonunuzdan PIN yazıp 3555’e SMS gönderebilir veya 0212 473 7373'ten önce 1 sonra tekrar 1 tuşlayarak şifrenizi 0000 olarak değiştirebilirsiniz.
POPUP_ACTIONNOTIFICATION_MESSAGE_WAIT;;Wrong PIN Code, you have %1 attempts left.%cr%Please try again after %2 minutes.%cr%%cr%In order to reset your PIN code to 0000, please send “PIN“ SMS to 3555 via%cr%your registered phone or call 0212 473 73 73 for support.;Hatalı PIN girdiniz, %1 hakkınız kaldı.%cr%Lütfen %2 dakika sonra tekrar deneyiniz.%cr%%cr%Pin kodunuzu 0000 olarak yenilemek için Digiturk'e kayıtlı cep telefonunuzdan%cr%PIN yazıp 3555'e SMS gönderebilir ya da 0212 473 73 73'ten destek %cr%alabilirsiniz.
POPUP_ACTIONNOTIFICATION_MESSAGE_LOCK;;Your PIN code is blocked!%cr%%cr%In order to reset your PIN code to 0000, please send “PIN“ SMS to 3555 via%cr%your registered phone or call 0212 473 73 73 for support.;PIN kodunu yenilemeniz gerekmektedir!%cr%%cr%PIN kodunuzu 0000 olarak yenilemek için Digiturk'e kayıtlı cep telefonunuzdan%cr%PIN yazıp 3555’e SMS gönderebilir ya da 0212 473 73 73'ten destek %cr%alabilirsiniz.
POPUP_ACTIONNOTIFICATION_MESSAGE_TUNERS;You can only view the 2 channels you are recording.;You can only view the 2 channels you are recording.;İki kayıt devam ederken sadece kaydettiğiniz kanalları izleyebilirsiniz.

# POPUP - ACTION MESSAGES - WARNINGS
RECORDINGS_WARNING_ACTION_LOWSPACEONHDD;;HDD FREE SPACE BELOW 5 %;DİSKTE BOŞ ALAN %5'DEN AZ
RECORDINGS_WARNING_ACTION_FULLHDD;;HDD FULL;SABİT DİSK DOLU
POPUP_ALARM_MESSAGE_LOWSPACEONHDD;;Your HDD free space is below 5 %, your record may not be complete.;Sabit diskinizdeki boş alan %5'in altında, kaydınız tamamlanamayabilir.
POPUP_ALARM_MESSAGE_FULLHDD;;Your HDD is full. %cr%You can go to MANAGE RECORDINGS/DELETE RECORDINGS to make space easily with multiple deletion.;Sabit diskiniz dolu. %cr%KAYITLARI DÜZENLE/KAYIT SİLME menüsünden seçtiğiniz kayıtları topluca silerek sabit diskinizde yer açabilirsiniz.
POPUP_ALARM_ACTION_GOTORECLIST;;GO TO RECORDING LIST;KAYIT LİSTESİNE GİT
POPUP_ALARM_MESSAGE_TEMPERATUREHDD;;Warning : hard disk temperature is too high.;Uyarı : Sabit diskiniz fazla ısındı
POPUP_ALARM_MESSAGE_EXPIRATION;;Warning : VOD expiration date.;Uyarı: Seç-İzle içeriğin son izleme tarihi
POPUP_ALARM_MESSAGE_WATCH;;Are you sure you wish to stop ? You can still watch this video until %1 .;İzlemeyi sonlandırmak istediğinizden emin misiniz? %cr%Bu videyou izleyebileceğiniz son tarih: %1 .
GENERIC_UNIT_SYMBOL_MINREMAINING;;%1 min. left;%1 dk kaldı
POPUP_ALARM_MESSAGE_SERIES;;There is an ongoing recording. You can spy only recording channel. ;Bir kanalda kayıt devam ediyor. %cr%Sadece kaydettiğiniz kanalı takibe alabilirsiniz.
